word_id;words;sent_id;label
0;On;0;O
1;September;0;O
2;24;0;O
3;2014;0;O
4;,;0;O
5;FireEye;0;O
6;observed;0;O
7;a;0;O
8;new;0;O
9;strategic;0;O
10;web;0;O
11;compromise;0;O
12;(;0;O
13;SWC;0;O
14;);0;O
15;campaign;0;O
16;that;0;O
17;we;0;O
18;believe;0;O
19;is;0;O
20;targeting;0;O
21;non-profit;0;O
22;organizations;0;O
23;and;0;O
24;non-governmental;0;O
25;organizations;0;O
26;(;0;O
27;NGO;0;O
28;);0;O
29;by;0;O
30;hosting;0;O
31;iframes;0;O
32;on;0;O
33;legitimate;0;O
34;websites;0;O
35;.;0;O
;;;
0;The;1;O
1;compromised;1;O
2;websites;1;O
3;contained;1;O
4;an;1;B-Entity
5;iframe;1;I-Entity
6;to;1;O
7;direct;1;B-Action
8;site;1;B-Entity
9;visitors;1;I-Entity
10;to;1;B-Modifier
11;a;1;B-Entity
12;threat;1;I-Entity
13;actor-controlled;1;I-Entity
14;IP;1;I-Entity
15;address;1;I-Entity
16;that;1;O
17;dropped;1;B-Action
18;a;1;B-Entity
19;Poison;1;I-Entity
20;Ivy;1;I-Entity
21;remote;1;I-Entity
22;access;1;I-Entity
23;tool;1;I-Entity
24;(;1;I-Entity
25;RAT;1;I-Entity
26;);1;I-Entity
27;onto;1;B-Modifier
28;victims;1;B-Entity
29;';1;I-Entity
30;systems;1;I-Entity
31;.;1;O
;;;
0;FireEye;2;O
1;has;2;O
2;not;2;O
3;yet;2;O
4;attributed;2;O
5;this;2;O
6;activity;2;O
7;though;2;O
8;we;2;O
9;have;2;O
10;identified;2;O
11;links;2;O
12;to;2;O
13;the;2;O
14;Sunshop;2;O
15;Digital;2;O
16;Quartermaster;2;O
17;,;2;O
18;a;2;O
19;collective;2;O
20;of;2;O
21;malware;2;O
22;authors;2;O
23;that;2;O
24;supports;2;O
25;multiple;2;O
26;China-based;2;O
27;advanced;2;O
28;persistent;2;O
29;threat;2;O
30;(;2;O
31;APT;2;O
32;);2;O
33;groups;2;O
34;.;2;O
;;;
0;FireEye;3;O
1;previously;3;O
2;established;3;O
3;detection;3;O
4;measures;3;O
5;for;3;O
6;this;3;O
7;threat;3;O
8;activity;3;O
9;,;3;O
10;ensuring;3;O
11;our;3;O
12;clients;3;O
13;were;3;O
14;prepared;3;O
15;for;3;O
16;these;3;O
